Judet,01,02,03,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,41,42,43,45,46,47,49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87,88,90,91,92,93,94,95,96,97,98,99,total_angajati
ab,397.18,249.75,3.15,0.00,0.00,169.21,93.13,0.00,1995.88,21.25,0.00,72.67,407.94,545.40,1933.71,169.73,27.55,0.00,29.12,0.00,143.50,889.07,129.07,768.66,37.51,69.26,1571.94,312.97,1.05,364.65,66.37,51.16,7.35,210.13,8.13,114.64,0.00,844.73,155.57,555.11,352.85,682.08,1304.35,1417.68,0.00,0.00,25.45,67.16,153.73,409.25,21.51,10.49,1.84,15.22,66.11,17.05,24.92,0.79,28.33,51.94,49.32,71.09,253.68,3.67,27.02,52.21,39.35,30.17,12.07,13.38,58.76,113.07,145.86,0.00,48.80,217.74,3.94,2.89,11.02,14.17,20.72,53.78,0.00,14.95,62.44,0.00,0.00,0.00,18387.40
ag,202.00,157.61,4.18,0.00,0.00,0.00,63.88,10.05,848.38,16.86,0.00,26.45,377.86,37.59,294.34,64.34,25.98,0.15,74.71,16.55,632.45,94.66,94.66,750.62,164.42,259.08,254.59,4488.27,94.35,158.69,44.39,39.29,47.17,212.06,10.67,296.51,0.00,1072.19,306.71,569.04,592.08,1121.37,1976.71,2190.46,0.00,1.86,78.88,30.01,140.75,399.98,49.19,12.22,5.26,10.83,96.36,24.59,52.12,0.00,72.39,127.45,55.53,82.13,217.62,119.25,40.37,68.36,19.33,25.06,33.87,22.58,236.96,210.66,146.94,1.08,81.67,272.84,27.07,4.33,13.30,10.36,73.31,55.06,0.46,29.39,150.96,0.00,0.00,0.00,20791.77
ar,399.07,180.04,3.58,0.21,51.02,0.00,49.33,0.21,384.11,36.26,0.00,290.08,382.00,138.08,220.94,29.94,18.76,0.21,4.01,0.21,402.87,118.48,80.74,643.41,500.48,620.85,190.79,1799.10,522.82,548.97,306.95,19.18,114.89,174.77,3.16,145.67,0.00,766.95,162.54,417.84,477.29,1150.21,1209.45,2035.01,0.00,0.42,240.96,52.49,92.97,434.07,16.44,5.27,1.26,9.70,76.53,30.99,44.90,0.21,49.96,142.93,95.92,112.58,185.10,2.95,49.33,54.81,42.80,24.24,23.40,27.20,293.67,216.72,351.64,14.76,57.34,371.88,1.69,20.66,10.54,6.32,24.03,43.64,0.00,17.50,92.97,12.65,0.00,0.00,17953.95
b,169.59,701.58,8.73,0.24,408.32,34.12,95.00,97.94,824.29,263.88,22.97,80.76,255.62,118.30,116.73,32.08,237.45,4.46,137.94,141.17,252.25,367.56,16.99,298.28,133.10,126.79,182.36,276.74,126.55,124.61,95.14,252.16,1133.39,91.06,15.28,458.24,0.66,1903.91,853.90,1465.88,816.74,4133.96,5910.98,2531.65,12.15,13.76,1526.62,1500.76,303.31,1500.19,603.21,149.24,130.07,1297.05,2934.42,438.46,2241.86,381.18,306.78,765.40,409.89,1172.11,1229.29,253.96,709.03,226.58,58.13,102.59,1430.15,142.55,2132.01,563.82,1700.44,487.95,231.09,1339.19,27.33,22.21,60.45,11.77,666.51,113.13,1.14,102.02,437.08,0.00,0.05,0.05,53054.31
bc,160.23,86.53,6.02,0.00,0.00,0.00,21.80,0.27,785.09,11.37,0.00,201.29,471.85,97.37,367.00,47.08,16.85,0.13,347.87,2.54,182.30,82.52,5.22,196.07,112.21,14.58,28.35,118.10,216.00,139.50,38.79,47.61,48.42,99.24,5.22,154.07,0.67,734.26,536.05,346.67,245.96,772.91,2571.26,426.11,0.13,1.20,29.83,32.77,89.88,287.15,5.62,2.14,5.75,14.04,35.31,13.24,28.76,0.00,33.04,59.52,29.02,40.93,107.93,1.07,25.01,50.02,22.87,32.90,60.72,8.16,116.76,68.21,80.25,0.53,51.22,218.54,4.15,2.54,11.37,0.40,14.44,18.19,0.40,17.25,86.80,0.00,0.00,0.00,11453.43
bh,374.35,139.47,15.50,15.17,0.00,16.14,78.45,14.53,744.02,164.01,0.00,114.13,390.98,778.40,137.21,120.59,52.63,1.29,45.04,0.16,548.53,234.88,47.62,685.10,762.90,132.53,51.01,492.51,0.16,663.95,156.91,26.31,108.48,139.15,0.81,254.41,0.00,1121.27,372.25,718.51,526.90,1522.26,1533.88,1968.60,0.48,0.16,341.74,71.51,322.53,550.30,92.82,6.94,38.74,5.00,168.53,104.60,35.51,0.16,75.39,160.14,100.25,113.64,268.45,4.68,50.69,72.48,28.25,25.67,110.09,20.99,343.68,155.78,203.24,0.81,74.74,356.75,3.39,8.72,13.40,3.07,76.19,103.80,0.00,25.51,111.22,0.00,0.00,0.00,19521.05
bn,167.53,484.99,3.64,0.00,0.00,0.00,70.41,10.62,621.26,7.59,0.00,300.16,55.84,40.37,334.46,53.11,30.35,0.00,19.73,0.00,452.82,95.00,85.89,532.94,9.10,414.28,274.67,2326.63,12.14,130.20,55.24,17.60,5.16,137.18,0.00,69.50,0.00,1573.95,373.00,468.00,388.78,483.17,1350.27,1186.99,0.00,0.00,44.61,56.15,145.68,362.07,4.55,6.37,1.52,3.03,52.51,7.89,24.28,0.00,45.22,32.47,30.96,47.95,136.88,11.53,31.87,55.24,35.21,37.33,26.40,30.35,63.73,117.15,77.09,0.30,43.10,172.69,5.16,1.21,16.39,3.95,78.61,53.42,0.30,26.40,98.64,0.00,0.00,0.00,14630.79
br,977.05,25.82,12.91,0.00,0.00,0.00,5.05,0.00,655.48,22.45,0.00,21.33,633.03,96.81,55.28,6.73,32.55,11.50,3.37,0.00,65.66,27.22,47.70,169.76,0.28,164.99,62.85,0.56,155.73,84.74,22.17,124.31,12.91,276.11,0.56,151.24,0.00,481.51,150.12,319.04,332.23,701.22,1160.28,537.91,59.77,0.00,67.34,34.23,58.36,364.22,3.37,1.68,0.28,5.61,35.07,12.07,30.02,0.00,57.52,91.76,36.76,89.51,129.08,14.59,40.97,38.16,25.82,25.53,102.98,25.82,128.51,86.42,105.22,1.96,46.02,146.47,0.28,2.24,6.45,16.27,25.82,38.44,0.28,19.36,168.08,2.24,0.00,0.00,9753.07
bt,269.03,12.97,30.99,0.00,0.00,0.00,54.51,0.00,556.51,23.30,0.00,137.37,891.70,48.79,59.12,9.89,10.77,0.00,7.47,0.00,55.39,51.87,0.00,45.94,1.76,80.44,40.22,0.00,0.44,120.23,7.47,14.73,41.98,104.62,0.88,107.48,0.00,590.80,191.00,229.90,161.55,416.51,858.51,262.21,0.00,0.00,38.46,49.89,45.50,251.88,6.81,1.10,3.08,14.07,38.90,3.52,27.69,0.00,8.13,29.01,15.83,14.95,84.40,0.66,15.17,11.87,30.55,5.28,2.64,3.74,44.18,36.49,25.28,0.00,38.90,81.54,2.42,0.44,6.81,0.44,9.89,15.83,0.00,5.49,82.86,0.00,0.00,0.00,6550.03
