SIRUTA,F1,F2,F3
1017,0.778,3.037,0.012
1071,0.016,-0.438,-0.639
1151,0.010,1.433,-0.616
1213,-0.370,-1.061,-0.152
1348,0.185,0.059,-2.252
1455,-0.071,0.194,-0.833
1696,0.142,0.785,-0.858
1794,-0.106,-0.291,0.443
1874,0.203,1.945,-3.005
1936,0.006,0.140,-0.943
2130,-0.050,-0.154,-0.001
2309,0.030,0.423,-0.327
2381,-0.091,-0.264,0.268
2577,-0.046,-0.050,-0.094
2915,0.122,0.937,-0.500
2988,-0.050,-0.133,-0.135
3039,-0.053,0.838,-0.572
3397,-0.061,-0.193,0.002
3459,-0.052,-0.116,-0.052
3761,-0.060,-0.190,0.003
3805,-0.028,0.111,-0.152
3841,-0.059,-0.194,-0.040
3958,-0.060,-0.190,-0.076
4008,-0.047,-0.120,-0.030
4106,-0.039,-0.117,-0.137
4142,-0.037,-0.044,-0.031
4188,-0.051,-0.142,-0.004
4240,-0.038,-0.000,0.091
4268,-0.058,-0.166,0.022
4302,-0.062,-0.185,-0.097
4366,-0.281,-0.832,-0.038
4482,-0.064,-0.156,-0.005
4525,-0.019,0.040,-0.144
4703,-0.064,-0.186,-0.007
4767,-0.055,-0.152,-0.014
4927,-0.166,-0.595,-0.099
4981,-0.060,-0.181,-0.012
5103,-0.097,-0.159,0.257
5167,-0.078,-0.292,0.054
5210,-0.087,-0.186,0.102
5309,-0.069,-0.290,0.116
5336,-0.046,-0.132,0.010
5577,-0.052,-0.166,-0.176
5700,-0.064,-0.172,-0.022
5755,-0.065,-0.204,-0.026
5826,-0.060,-0.186,0.010
6048,-0.059,-0.040,-0.188
6119,-0.014,-0.130,-0.180
6164,-0.060,-0.168,-0.037
6217,-0.035,-0.021,-0.104
6271,-0.062,-0.178,0.036
6397,-0.061,-0.194,0.004
6468,-0.033,-0.014,-0.059
6547,-0.065,-0.188,0.039
6592,-0.075,-0.223,-0.113
6627,-0.062,-0.201,0.008
6761,0.046,0.117,0.234
6930,-0.060,-0.152,-0.023
6976,-0.049,-0.154,-0.059
7044,-0.060,-0.160,0.037
7099,-0.066,-0.227,-0.053
7197,-0.060,-0.177,0.039
7348,-0.060,-0.177,-0.053
7384,-0.071,-0.619,-0.351
